Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],,,,,,,,,,,,,,,
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,25.7,27.25,28.5,30,31.1,32.45,33.8,35.4,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.5,71.5,97.7,97.7,93.43087769,97.7,97.7,97.7,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.315570916,0.290260985,0.363282086,0.350879165,0.401052962,0.370130823,0.243668383,0.335934935,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.216608988,0.232761963,0.284781431,0.229821541,0.237614662,0.269353221,0.23795819,0.317732055,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.12366803,58.12366803,58.12366803,58.12366803,58.27698818,58.27698818,58.74154823,58.74154823,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,29.97558252,33.59761887,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,39.39098063,..,..,..,32.93045135,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.283692396,0.297971775,0.268358773,0.281195816,0.299082634,0.297563651,0.223478872,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Coastal protection,EN.CLC.CSTP.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.364742875,-1.354239821,-1.540352702,-1.531909704,-1.502880573,-1.419499159,-1.493699789,-1.152327418,-1.183776498,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Cooling Degree Days,EN.CLC.CDDY.XD,1894.63,1923.64,2009.22,2097.46,2004.53,1976.95,1847.95,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,1.943449165,2.00200778,2.014215572,2.023744385,2.037372954,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,2.25,2.37,2.24,2.3,2.44,2.41,2.57,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.56,5.405,5.262,5.129,5.002,4.87,4.75,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,101.99,95.97,102.04,99.84,96.19,109.41,112.3,114.32,111.43,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73883937,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.359304667,-1.396183848,-1.290252805,-1.388972163,-1.501345396,-1.518614173,-1.60950923,-1.669562101,-1.879552364,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,7.964570045,7.284904957,8.260235786,8.202471733,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Heat Index 35,EN.CLC.HEAT.XD,0.97,1.88,1.55,1.79,2.16,2.36,1.26,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Heating Degree Days,EN.CLC.HDDY.XD,5879.92,5485.71,5063.31,5277.47,5064.4,5534.55,5842.72,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,0.5,0.5,0.39,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,7,8.26,11,13.5,16.8,17.6,18.4,..,..,..,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,48.268,48.358,48.449,48.541,46.738,44.939,42.609,42.224,38.5,..,,,,,,,,,,,,,,,
